doi,link,img,author,date,text
10.3758/s13423-013-0549-2,http://asefixesscience.wordpress.com/2013/11/26/calooo-calay-what-a-happy-day/,NA,Ase Kvist Innes-Ker,11/26/13,"Calooo Calay, what a happy day! Ase Fixes Science blogs about big secrets and steep hills."
10.3758/s13423-013-0549-2,NA,NA,Zienes,11/12/12,The authors use Bayes factors to show the data as a whole support the null hypothesis. They state 'The Cauchy prior makes weaker assumptions about the likely effect sizes under the
10.1126/science.1130726,http://www.nytimes.com/2006/09/12/health/psychology/12macbeth.html,NA,Benedict Carey,09/12/06,Lady Macbeth Not Along in Her Quest for Spotlessness.
scicom2,http://bps-research-digest.blogspot.com/2006/09/your-conscience-really-can-be-wiped.html,NA,Christian Jarrett,09/15/06,Your conscience really can be wiped clean.
10.1037/a0021524,http://www.wired.com/wiredscience/2010/11/feeling-the-future-is-precognition-possible/,NA,Jonah Lehrer,11/15/10,Feeling the Future: Is Precognitition Possible?
10.1037/a0021524,http://www.skeptic.com/eskeptic/11-04-13/#feature,NA,Nicolas Gauvrit,04/13/11,Precognition or Pathological Science? An Analysis of Daryl Bem's Controversial 'Feeling the Future' Paper.
10.1037/a0021524,http://www.csicop.org/specialarticles/show/back_from_the_future,NA,James Alcock,01/06/11,Back from the Future: Parapsychology and the Bem Affair.
10.1371/journal.pone.0033423,http://www.plosone.org/annotation/listThread.action?root=211,NA,Daryl Bem,03/15/12,"Bem's response to Ritchie, Wiseman, and French."
10.1371/journal.pone.0033423,http://www.livescience.com/19058-controversial-psychic-finding-fails.html,NA,Stephanie Pappas,03/14/12,Controversial Psychic Ability Claim Doesn't Hold up in New Experiments.
10.1371/journal.pone.0033423,http://www.tgdaily.com/general-sciences-features/62101-claims-of-psychic-ability-fail-to-stack-up,NA,Emma Woollacott,03/15/12,Claims of psychic ability fail to stack up.
